key	result
基里	[ [ "基里巴斯" , "大洋洲" , 1] , [ "腊塔纳基里" , "柬埔寨" , 2]]
立陶	[ [ "立陶宛" , "欧洲" , 1]]
普拉塔	[ [ "普拉塔港" , "多米尼加共和国" , 2]]
qinghe	[ [ "清河" , "中国" , 2]]
deling	[ [ "德令哈" , "中国" , 2]]
yuanping	[ [ "原平" , "中国" , 2]]
binzhou	[ [ "滨州" , "中国" , 2]]
qingha	[ [ "青海" , "中国" , 2]]
laotuokas	[ [ "劳托卡市" , "斐济" , 2]]
埃尔贡山	[ [ "埃尔贡山" , "乌干达" , 2]]
bolune	[ [ "博伦厄/法鲁恩" , "瑞典" , 2]]
danni	[ [ "但尼丁" , "新西兰" , 2]]
驻马店	[ [ "驻马店" , "中国" , 2]]
阿德	[ [ "阿德莱德" , "澳大利亚" , 2] , [ "阿德拉尔" , "阿尔及利亚" , 2] , [ "阿德达巴" , "苏丹" , 2]]
adijiasi	[ [ "阿蒂加斯" , "乌拉圭" , 2]]
班特里	[ [ "班特里" , "爱尔兰" , 2]]
kemoduo	[ [ "科摩多" , "非洲" , 1]]
aletai	[ [ "阿勒泰" , "中国" , 2]]
zhenjian	[ [ "镇江" , "中国" , 2]]
bayanho	[ [ "巴颜洪格尔" , "蒙古" , 2]]
fenyang	[ [ "汾阳" , "中国" , 2]]
boluow	[ [ "波罗维茨" , "保加利亚" , 2]]
boluot	[ [ "博洛陶" , "科特迪瓦" , 2]]
boluos	[ [ "波罗斯岛" , "希腊" , 2]]
boluon	[ [ "博洛尼亚" , "意大利" , 2]]
mzlsl	[ [ "马扎里沙里夫" , "阿富汗" , 2]]
tieli	[ [ "铁力士雪山" , "瑞士" , 2] , [ "铁力" , "中国" , 2] , [ "铁岭" , "中国" , 2]]
basang	[ [ "巴桑库苏" , "刚果(金)" , 2]]
bidegeshen	[ [ "比德哥什" , "波兰" , 2]]
esitelaf	[ [ "俄斯特拉发" , "捷克" , 2]]
boluob	[ [ "波罗奔尼萨半岛" , "希腊" , 2]]
斯普利特	[ [ "斯普利特" , "克罗地亚" , 2]]
xixiadaxi	[ [ "西峡（大峡谷）" , "美国" , 2]]
abuleiaoy	[ [ "阿布雷奥约斯" , "墨西哥" , 2]]
qitaihe	[ [ "七台河" , "中国" , 2]]
姜堰	[ [ "姜堰" , "中国" , 2]]
tijike	[ [ "提吉克贾" , "毛里塔尼亚" , 2]]
adij	[ [ "阿蒂加斯" , "乌拉圭" , 2]]
lasiw	[ [ "拉斯维加斯" , "美国" , 2]]
enhaijia	[ [ "恩海岬" , "希腊" , 2]]
马德里	[ [ "马德里" , "西班牙" , 2]]
巴彦淖尔	[ [ "巴彦淖尔" , "中国" , 2]]
yangji	[ [ "阳江" , "中国" , 2] , [ "羊角村" , "荷兰" , 2]]
adiw	[ [ "阿蒂乌岛" , "库克群岛" , 2]]
swkp	[ [ "斯瓦科普蒙德" , "纳米比亚" , 2]]
阿尔达布拉	[ [ "阿尔达布拉岛" , "塞舌尔" , 2]]
kksqd	[ [ "科科斯群岛" , "大洋洲" , 1]]
诺萨拉	[ [ "诺萨拉比奇" , "哥斯达黎加" , 2]]
银	[ [ "银川" , "中国" , 2] , [ "白银" , "中国" , 2]]
yinlai	[ [ "茵莱湖" , "缅甸" , 2]]
sdmjpl	[ [ "圣多美及普林西比" , "非洲" , 1]]
mingguan	[ [ "明光" , "中国" , 2]]
fulan	[ [ "弗朗西斯敦" , "博茨瓦纳" , 2]]
wuduom	[ [ "乌多姆塞" , "老挝" , 2]]
fulaj	[ [ "弗拉基米尔" , "俄罗斯" , 2]]
swly	[ [ "塞维利亚" , "西班牙" , 2]]
aiyinhuo	[ [ "埃因霍温" , "荷兰" , 2]]
adjs	[ [ "阿蒂加斯" , "乌拉圭" , 2]]
kelaipeida	[ [ "克莱佩达" , "立陶宛" , 2]]
palamali	[ [ "帕拉马里博" , "苏里南" , 2]]
eeg	[ [ "额尔古纳" , "中国" , 2]]
铁	[ [ "铁力士雪山" , "瑞士" , 2] , [ "铁力" , "中国" , 2] , [ "铁岭" , "中国" , 2] , [ "铁尔梅兹" , "乌兹别克斯坦" , 2]]
fulad	[ [ "符拉迪沃斯托克" , "俄罗斯" , 2]]
eed	[ [ "鄂尔多斯" , "中国" , 2]]
muzuzu	[ [ "姆祖祖" , "马拉维" , 2]]
铜	[ [ "铜仁" , "中国" , 2] , [ "铜川" , "中国" , 2] , [ "铜陵" , "中国" , 2] , [ "青铜峡" , "中国" , 2]]
deguo	[ [ "德国" , "欧洲" , 1]]
eex	[ [ "俄尔辛基" , "乌兹别克斯坦" , 2]]
满洲	[ [ "满洲里" , "中国" , 2]]
zaoyang	[ [ "枣阳" , "中国" , 2]]
helutefang	[ [ "赫鲁特方丹" , "纳米比亚" , 2]]
mojili	[ [ "莫吉廖夫" , "白俄罗斯" , 2]]
eer	[ [ "额尔古纳" , "中国" , 2] , [ "鄂尔多斯" , "中国" , 2] , [ "俄尔辛基" , "乌兹别克斯坦" , 2]]
布尔诺	[ [ "布尔诺" , "捷克" , 2]]
edk	[ [ "恩德卡汗" , "蒙古" , 2]]
edl	[ [ "恩多拉" , "赞比亚" , 2]]
telaweifu	[ [ "特拉维夫" , "以色列" , 2]]
qingda	[ [ "青岛" , "中国" , 2]]
chishui	[ [ "赤水" , "中国" , 2]]
cenxi	[ [ "岑溪" , "中国" , 2]]
weierniusi	[ [ "维尔纽斯" , "立陶宛" , 2]]
masidik	[ [ "马斯蒂克" , "圣文森特和格林纳丁斯" , 2]]
edc	[ [ "讹答刺城" , "哈萨克斯坦" , 2]]
baerbo	[ [ "巴尔博亚" , "巴拿马" , 2]]
钦	[ [ "钦州" , "中国" , 2]]
shennaic	[ [ "神奈川県" , "日本" , 2]]
eda	[ [ "讹答刺城" , "哈萨克斯坦" , 2]]
bulisiban	[ [ "布里斯班" , "澳大利亚" , 2]]
taime	[ [ "泰美尔" , "尼泊尔" , 2]]
bhmd	[ [ "波荷木岛" , "丹麦" , 2]]
hnma	[ [ "哈霓玛阿都" , "马尔代夫" , 2]]
kaerxi	[ [ "卡尔希" , "乌兹别克斯坦" , 2]]
xl-wgk	[ ]
adle	[ [ "阿德拉尔" , "阿尔及利亚" , 2]]
贝拉乌尼	[ [ "贝拉乌尼翁" , "乌拉圭" , 2]]
edp	[ [ "恩德培" , "乌干达" , 2]]
adld	[ [ "阿德莱德" , "澳大利亚" , 2]]
baonajia	[ [ "包纳加尔" , "印度" , 2]]
beikaike	[ [ "北凯科斯" , "巴哈马" , 2]]
bayanna	[ [ "巴彦淖尔" , "中国" , 2]]
牙克石	[ [ "牙克石" , "中国" , 2]]
yhnsbs	[ [ "约翰内斯堡市" , "南非" , 2]]
maliyawenq	[ [ "玛丽亚温泉城" , "捷克" , 2]]
mtnk	[ [ "马提尼克（法）" , "北美洲" , 1] , [ "马提尼克(法属)" , "北美洲" , 1]]
马塔	[ [ "马塔迪" , "刚果(金)" , 2] , [ "塔马塔夫" , "马达加斯加" , 2]]
aokel	[ [ "奥克兰" , "新西兰" , 2]]
adls	[ [ "安得鲁斯岛" , "巴哈马" , 2]]
suifenhe	[ [ "绥芬河" , "中国" , 2]]
zaozhuang	[ [ "枣庄" , "中国" , 2]]
马塞	[ [ "马塞卢" , "莱索托" , 2] , [ "巴尔马塞达" , "智利" , 2]]
adly	[ [ "澳大利亚" , "大洋洲" , 1]]
钟	[ [ "钟祥" , "中国" , 2]]
midiyaluod	[ [ "米蒂亚罗岛" , "库克群岛" , 2]]
巴依	[ [ "巴依亚比纳" , "巴拿马" , 2]]
美属维尔京	[ [ "美属维尔京群岛" , "北美洲" , 1]]
admd	[ [ "埃德蒙顿" , "加拿大" , 2]]
otel	[ [ "噢特莱斯" , "意大利" , 2]]
苏梅	[ [ "苏梅岛" , "泰国" , 2]]
nuod	[ [ "诺丁汉" , "英国" , 2]]
fashuguiy	[ [ "法属圭亚那" , "南美洲" , 1]]
nuof	[ [ "诺福克岛(澳属)" , "大洋洲" , 1]]
长	[ [ "阿拉伯联合酋长国" , "亚洲" , 1] , [ "长乐" , "中国" , 2] , [ "长崎" , "日本" , 2] , [ "长春" , "中国" , 2] , [ "长沙" , "中国" , 2] , [ "长治" , "中国" , 2] , [ "长海" , "中国" , 2] , [ "长葛" , "中国" , 2] , [ "长崎县" , "日本" , 2] , [ "长滩岛" , "菲律宾" , 2]]
dangy	[ [ "当阳" , "中国" , 2]]
adna	[ [ "安东尼奥港" , "牙买加" , 2]]
新巴尔虎	[ [ "新巴尔虎右旗" , "中国" , 2]]
委内瑞拉	[ [ "委内瑞拉" , "南美洲" , 1]]
admt	[ [ "埃德米特" , "土耳其" , 2]]
ensheerz	[ [ "恩舍尔兹维克" , "瑞典" , 2]]
xingche	[ [ "兴城" , "中国" , 2]]
ruishi	[ [ "瑞士" , "欧洲" , 1] , [ "瑞士全境" , "瑞士" , 2]]
巴克	[ [ "巴克乌" , "罗马尼亚" , 2] , [ "巴克尔" , "塞内加尔" , 2] , [ "巴克拉兰" , "马来西亚" , 2] , [ "迪亚巴克尔" , "土耳其" , 2]]
beifangc	[ [ "北方城" , "卡塔尔" , 2]]
dyb	[ [ "迪亚巴克尔" , "土耳其" , 2]]
兴义	[ [ "兴义" , "中国" , 2]]
dxd	[ [ "大溪地" , "法国" , 2]]
danid	[ [ "达尼丁" , "新西兰" , 2]]
bodeda	[ [ "伯德岛" , "塞舌尔" , 2]]
delibo	[ [ "的黎波里" , "利比亚" , 2]]
heishan	[ [ "黑山共和国" , "欧洲" , 1]]
linqin	[ [ "临清" , "中国" , 2]]
nuox	[ [ "诺西贝岛" , "马达加斯加" , 2]]
baerka	[ [ "巴尔喀什" , "莫桑比克" , 2]]
阿库	[ [ "阿库雷" , "尼日利亚" , 2]]
dwt	[ [ "蒂瓦特" , "塞尔维亚" , 2]]
nuow	[ [ "挪威" , "欧洲" , 1] , [ "诺沃西比尔斯克" , "俄罗斯" , 2]]
镇	[ [ "皇后镇" , "新西兰" , 2] , [ "依云小镇" , "瑞士" , 2] , [ "镇江" , "中国" , 2] , [ "丰镇" , "中国" , 2] , [ "清镇" , "中国" , 2] , [ "景德镇" , "中国" , 2] , [ "拉穆镇" , "肯尼亚" , 2] , [ "阿瑟镇" , "巴哈马" , 2] , [ "乌拉特中镇" , "中国" , 2]]
taizi	[ [ "太子港" , "海地" , 2]]
jigem	[ [ "基戈马" , "坦桑尼亚" , 2]]
taizh	[ [ "台州" , "中国" , 2] , [ "泰州" , "中国" , 2]]
巴兰	[ [ "巴兰基亚" , "哥伦比亚" , 2]]
adns	[ [ "安德内斯" , "挪威" , 2]]
nuos	[ [ "诺萨拉比奇" , "哥斯达黎加" , 2]]
qingsh	[ [ "清水河" , "中国" , 2]]
heisha	[ [ "黑山共和国" , "欧洲" , 1]]
nuok	[ [ "诺库斯" , "乌兹别克斯坦" , 2]]
dxa	[ [ "大兴安岭" , "中国" , 2]]
巴拉奥	[ [ "巴拉奥纳" , "多米尼加共和国" , 2]]
克卢	[ [ "克卢日" , "罗马尼亚" , 2]]
bodege	[ [ "波德戈里" , "黑山共和国" , 2] , [ "波德戈里察" , "塞尔维亚" , 2]]
taiyu	[ [ "太原" , "中国" , 2]]
lswj	[ [ "拉斯维加斯" , "美国" , 2]]
dwd	[ [ "达维德" , "巴拿马" , 2]]
ashenha	[ [ "阿什哈巴德市" , "土库曼斯坦" , 2]]
布伦	[ [ "布伦迪欧斯" , "冰岛" , 2]]
马埃	[ [ "马埃岛" , "塞舌尔" , 2]]
锡	[ [ "莱比锡" , "德国" , 2] , [ "锡金" , "亚洲" , 1] , [ "锡尔特" , "利比亚" , 2] , [ "锡尔赫特" , "孟加拉" , 2] , [ "锡林浩特" , "中国" , 2] , [ "锡林郭勒" , "中国" , 2] , [ "锡金-甘托克" , "印度" , 2] , [ "无锡" , "中国" , 2]]
都江堰	[ [ "都江堰" , "中国" , 2]]
滨海	[ [ "滨海奥果韦省" , "加蓬" , 2]]
boliwaer	[ [ "玻利瓦尔州" , "委内瑞拉" , 2]]
锦	[ [ "锦州" , "中国" , 2] , [ "富锦" , "中国" , 2] , [ "盘锦" , "中国" , 2]]
taiya	[ [ "太阳城" , "南非" , 2]]
伊尔库茨	[ [ "伊尔库茨克" , "俄罗斯" , 2]]
nukualuof	[ [ "努库阿洛法" , "汤加" , 2]]
天水	[ [ "天水" , "中国" , 2]]
aeryuef	[ [ "阿尔约夫" , "也门" , 2]]
latuowei	[ [ "拉脱维亚" , "欧洲" , 1]]
wanlo	[ [ "万隆" , "印度尼西亚" , 2]]
swnj	[ [ "沙湾拿吉" , "老挝" , 2]]
baerma	[ [ "巴尔马塞达" , "智利" , 2]]
安托法	[ [ "安托法加斯塔" , "智利" , 2]]
hegan	[ [ "鹤岗" , "中国" , 2]]
lnw(fs)	[ ]
ruishiqu	[ [ "瑞士全境" , "瑞士" , 2]]
taixi	[ [ "泰兴" , "中国" , 2]]
chidaojine	[ [ "赤道几内亚" , "非洲" , 1]]
bulundious	[ [ "布伦迪欧斯" , "冰岛" , 2]]
yindunixi	[ [ "印度尼西亚" , "亚洲" , 1]]
dus	[ [ "杜塞尔多夫" , "德国" , 2] , [ "杜尚别" , "塔吉克斯坦" , 2]]
halifak	[ [ "哈利法克斯" , "加拿大" , 2]]
dangg	[ [ "当果拉" , "苏丹" , 2]]
sanya	[ [ "三亚" , "中国" , 2]]
mojiad	[ [ "摩加迪沙" , "索马里" , 2]]
康斯坦察	[ [ "康斯坦察" , "罗马尼亚" , 2]]
艾尔格哈	[ [ "艾尔格哈达" , "也门" , 2]]
basail	[ [ "巴塞罗那" , "西班牙" , 2] , [ "巴塞罗纳" , "西班牙" , 2]]
foluole	[ [ "佛罗雷斯" , "危地马拉" , 2] , [ "佛洛雷斯岛" , "葡萄牙" , 2]]
yisitanbao	[ [ "伊斯坦堡" , "土耳其" , 2]]
haikou	[ [ "海口" , "中国" , 2]]
fulid	[ [ "弗里敦" , "塞拉利昂" , 2]]
mojiliao	[ [ "莫吉廖夫" , "白俄罗斯" , 2]]
哈帕	[ [ "哈帕伊" , "汤加" , 2]]
swst	[ [ "圣维森特" , "佛得角" , 2] , [ "圣文森特" , "圣文森特和格林纳丁斯" , 2] , [ "圣文森特和格林纳丁斯" , "北美洲" , 1]]
yongka	[ [ "永康" , "中国" , 2]]
nuji	[ [ "怒江" , "中国" , 2]]
wanni	[ [ "万宁" , "中国" , 2]]
kunshila	[ [ "昆士兰州" , "澳大利亚" , 2]]
mtgb	[ [ "蒙特哥贝" , "牙买加" , 2]]
伯拉西	[ [ "伯拉西" , "所罗门群岛" , 2]]
taiwa	[ [ "台湾" , "中国" , 2] , [ "台湾旅游" , "中国" , 2]]
basaie	[ [ "巴塞尔" , "瑞士" , 2]]
meihek	[ [ "梅河口" , "中国" , 2]]
bayangn	[ [ "巴扬内" , "莫桑比克" , 2]]
lasai	[ [ "拉塞瓦" , "洪都拉斯" , 2] , [ "拉塞雷纳" , "智利" , 2]]
阿尔巴明契	[ [ "阿尔巴明契" , "埃塞俄比亚" , 2]]
danma	[ [ "丹麦" , "欧洲" , 1] , [ "丹麦法罗群岛（丹）" , "欧洲" , 1]]
huixian	[ [ "辉县" , "中国" , 2]]
nuku	[ [ "努库阿洛法" , "汤加" , 2]]
芜湖	[ [ "芜湖" , "中国" , 2]]
lubang	[ [ "卢班戈" , "安哥拉" , 2]]
西藏	[ [ "西藏" , "中国" , 2]]
hannuow	[ [ "汉诺威" , "德国" , 2]]
奥斯	[ [ "奥斯陆" , "挪威" , 2] , [ "奥斯卡斯哈门" , "瑞典" , 2] , [ "帕拉西奥斯" , "洪都拉斯" , 2] , [ "奥桥里奥斯" , "牙买加" , 2]]
武冈	[ [ "武冈" , "中国" , 2]]
foluolu	[ [ "佛罗伦萨" , "意大利" , 2]]
ashenbo	[ [ "阿什伯顿" , "新西兰" , 2]]
弗罗茨瓦夫	[ [ "弗罗茨瓦夫" , "波兰" , 2]]
yongji	[ [ "永济" , "中国" , 2]]
abmmh	[ [ "阿贝马马环礁" , "基里巴斯" , 2]]
兰佩	[ [ "兰佩杜萨" , "意大利" , 2]]
yangch	[ [ "阳春" , "中国" , 2]]
tianzhus	[ [ "天柱山" , "中国" , 2]]
fulim	[ [ "弗里曼特尔" , "澳大利亚" , 2]]
fulangxi	[ [ "弗朗西斯敦" , "博茨瓦纳" , 2]]
巴塞罗	[ [ "巴塞罗那" , "西班牙" , 2] , [ "巴塞罗纳" , "西班牙" , 2]]
荷台	[ [ "荷台达" , "也门" , 2]]
白银	[ [ "白银" , "中国" , 2]]
ailinlap	[ [ "艾林拉帕拉普岛" , "马绍尔群岛" , 2]]
guandao	[ [ "关岛" , "大洋洲" , 1] , [ "关岛（美）" , "大洋洲" , 1]]
撒马	[ [ "撒马尔罕" , "乌兹别克斯坦" , 2]]
ganggu	[ [ "刚果（布）" , "非洲" , 1] , [ "刚果（金）" , "非洲" , 1] , [ "刚果(布)" , "非洲" , 1] , [ "刚果(金)" , "非洲" , 1]]
wanyuan	[ [ "万源" , "中国" , 2]]
波兹南	[ [ "波兹南" , "波兰" , 2]]
hanbao	[ [ "汉堡" , "德国" , 2]]
茫崖	[ [ "茫崖" , "中国" , 2]]
danji	[ [ "丹吉尔" , "摩洛哥" , 2] , [ "丹江口" , "中国" , 2]]
aierwei	[ [ "埃尔韦德" , "阿尔及利亚" , 2]]
苏格	[ [ "苏格兰" , "英国" , 2]]
qingla	[ [ "清莱" , "泰国" , 2]]
tonghua	[ [ "通化" , "中国" , 2]]
楠迪	[ [ "楠迪" , "斐济" , 2]]
baojiali	[ [ "保加利亚" , "欧洲" , 1]]
nankang	[ [ "南康" , "中国" , 2]]
caiermate	[ [ "采尔马特" , "瑞士" , 2]]
ksbl	[ [ "卡萨布兰卡" , "摩洛哥" , 2]]
维多利亚	[ [ "维多利亚" , "加拿大" , 2] , [ "维多利亚州" , "澳大利亚" , 2] , [ "维多利亚大瀑布" , "津巴布韦" , 2]]
diniebol	[ [ "第聂伯罗彼得罗夫斯克" , "乌克兰" , 2]]
dzl	[ [ "丹兹利" , "土耳其" , 2]]
danidi	[ [ "达尼丁" , "新西兰" , 2]]
阿尔达	[ [ "阿尔达比勒" , "伊朗" , 2] , [ "阿尔达布拉岛" , "塞舌尔" , 2]]
日照	[ [ "日照" , "中国" , 2]]
swsl	[ [ "斯威士兰" , "非洲" , 1]]
tanpei	[ [ "坦佩雷" , "芬兰" , 2]]
qingma	[ [ "清迈" , "泰国" , 2]]
aiwa(da	[ ]
taite	[ [ "太特" , "莫桑比克" , 2]]
班巴	[ [ "班巴里" , "中非" , 2] , [ "科恰班巴" , "玻利维亚" , 2]]
shafuhao	[ [ "沙芙豪森" , "瑞士" , 2]]
taian	[ [ "泰安" , "中国" , 2]]
don	[ [ "东京" , "日本" , 2] , [ "栋多" , "安哥拉" , 2] , [ "东台" , "中国" , 2] , [ "东方" , "中国" , 2] , [ "东港" , "中国" , 2] , [ "东戈瓦" , "瓦努阿图" , 2] , [ "东莞" , "中国" , 2] , [ "东兴" , "中国" , 2] , [ "东阳" , "中国" , 2] , [ "东营" , "中国" , 2]]
陇	[ [ "陇南" , "中国" , 2]]
陆	[ [ "奥斯陆" , "挪威" , 2] , [ "陆丰" , "中国" , 2] , [ "安陆" , "中国" , 2]]
bujia	[ [ "布加斯" , "保加利亚" , 2] , [ "布加勒斯特" , "罗马尼亚" , 2]]
basailuo	[ [ "巴塞罗那" , "西班牙" , 2] , [ "巴塞罗纳" , "西班牙" , 2]]
laergede	[ [ "拉尔戈德尔苏尔" , "古巴" , 2]]
dou	[ [ "都匀" , "中国" , 2] , [ "都拉斯" , "阿尔巴尼亚" , 2] , [ "都柏林" , "爱尔兰" , 2] , [ "都东区" , "文莱" , 2] , [ "都江堰" , "中国" , 2]]
adwl	[ [ "安达韦拉斯" , "秘鲁" , 2]]
陕	[ [ "陕西" , "中国" , 2]]
lusong	[ [ "吕宋岛" , "菲律宾" , 2]]
bujin	[ [ "布基纳法索" , "非洲" , 1]]
adwd	[ [ "阿蒂乌岛" , "库克群岛" , 2]]
克里沃	[ [ "克里沃罗格" , "乌克兰" , 2]]
瓜亚基	[ [ "瓜亚基尔" , "厄瓜多尔" , 2]]
马兰热	[ [ "马兰热" , "安哥拉" , 2]]
富锦	[ [ "富锦" , "中国" , 2]]
塞班岛	[ [ "塞班岛" , "北马里亚那群岛" , 2]]
yongkang	[ [ "永康" , "中国" , 2]]
淡布隆区	[ [ "淡布隆区" , "文莱" , 2]]
adelaer	[ [ "阿德拉尔" , "阿尔及利亚" , 2]]
taica	[ [ "太仓" , "中国" , 2]]
陵	[ [ "陵水" , "中国" , 2] , [ "乐陵" , "中国" , 2] , [ "格陵兰" , "北美洲" , 1] , [ "格陵兰（丹）" , "北美洲" , 1] , [ "醴陵" , "中国" , 2] , [ "铜陵" , "中国" , 2]]
dql	[ [ "大其力" , "缅甸" , 2]]
nuwa	[ [ "努瓦迪布" , "毛里塔尼亚" , 2] , [ "努瓦克肖特" , "毛里塔尼亚" , 2]]
阜新	[ [ "阜新" , "中国" , 2]]
wumugai	[ [ "乌姆盖" , "阿拉伯联合酋长国" , 2]]
mikenuosid	[ [ "米克诺斯岛" , "希腊" , 2] , [ "米科诺斯岛" , "希腊" , 2]]
马达加斯加	[ [ "马达加斯加" , "非洲" , 1]]
瑙鲁岛	[ [ "瑙鲁岛" , "瑙鲁" , 2]]
西西	[ [ "西西里岛" , "意大利" , 2]]
格林纳达	[ [ "格林纳达" , "北美洲" , 1]]
adelaid	[ [ "阿德莱德" , "澳大利亚" , 2]]
阆	[ [ "阆中" , "中国" , 2]]
铁力士	[ [ "铁力士雪山" , "瑞士" , 2]]
dmn	[ [ "多米尼加" , "北美洲" , 1] , [ "多米尼克" , "北美洲" , 1] , [ "多米尼加岛" , "多米尼克" , 2] , [ "多米尼加共和国" , "北美洲" , 1]]
苏黎世	[ [ "苏黎世" , "瑞士" , 2]]
kuibeikec	[ [ "魁北克城" , "加拿大" , 2]]
dms	[ [ "大马士革" , "叙利亚" , 2] , [ "蒂米什瓦拉" , "罗马尼亚" , 2]]
suhum	[ [ "苏呼米市" , "格鲁吉亚" , 2]]
wulatezho	[ [ "乌拉特中镇" , "中国" , 2]]
阿拉加尔萨	[ [ "阿拉加尔萨斯" , "巴西" , 2]]
otls	[ [ "噢特莱斯" , "意大利" , 2]]
ganlush	[ [ "甘露市" , "加拿大" , 2]]
dnd	[ [ "但尼丁" , "新西兰" , 2] , [ "达尼丁" , "新西兰" , 2]]
阜	[ [ "阜康" , "中国" , 2] , [ "阜新" , "中国" , 2] , [ "阜阳" , "中国" , 2] , [ "曲阜" , "中国" , 2]]
yamaij	[ [ "牙买加" , "北美洲" , 1]]
dnb	[ [ "第聂伯罗彼得罗夫斯克" , "乌克兰" , 2]]
dnc	[ [ "顿涅茨克" , "乌克兰" , 2]]
alaguayin	[ [ "阿拉瓜依纳" , "巴西" , 2]]
dng	[ [ "多尼戈尔" , "爱尔兰" , 2]]
nikex	[ [ "尼科西亚" , "塞浦路斯" , 2]]
贝达	[ [ "贝达" , "利比亚" , 2]]
bilish	[ [ "比利时" , "欧洲" , 1]]
yierkucike	[ [ "伊尔库茨克" , "俄罗斯" , 2]]
gelanada	[ [ "格拉纳达" , "西班牙" , 2]]
加达梅	[ [ "加达梅斯老城" , "利比亚" , 2]]
安道尔城	[ [ "安道尔城" , "安道尔" , 2]]
zhaodong	[ [ "肇东" , "中国" , 2]]
商丘	[ [ "商丘" , "中国" , 2]]
laluota	[ [ "拉罗汤加岛" , "库克群岛" , 2]]
wugand	[ [ "乌干达" , "非洲" , 1]]
俄罗	[ [ "俄罗斯" , "欧洲" , 1] , [ "白俄罗斯" , "欧洲" , 1]]
wuzibiekes	[ [ "乌兹别克斯坦" , "亚洲" , 1]]
亚速尔群	[ [ "亚速尔群岛（葡）" , "非洲" , 1]]
防	[ [ "防城港" , "中国" , 2] , [ "海防" , "越南" , 2]]
wugang	[ [ "武冈" , "中国" , 2] , [ "舞钢" , "中国" , 2]]
阳	[ [ "阳春" , "中国" , 2] , [ "阳朔" , "中国" , 2] , [ "阳江" , "中国" , 2] , [ "阳泉" , "中国" , 2] , [ "东阳" , "中国" , 2] , [ "丹阳" , "中国" , 2] , [ "信阳" , "中国" , 2] , [ "南阳" , "中国" , 2] , [ "咸阳" , "中国" , 2] , [ "太阳城" , "南非" , 2]]
雅典	[ [ "雅典" , "希腊" , 2]]
阿	[ [ "阿根廷" , "南美洲" , 1] , [ "阿联酋" , "亚洲" , 1] , [ "阿布扎比" , "阿拉伯联合酋长国" , 2] , [ "阿伯丁" , "英国" , 2] , [ "阿斯旺" , "埃及" , 2] , [ "阿纳西" , "法国" , 2] , [ "阿利" , "布基纳法索" , 2] , [ "阿包" , "巴布亚新几内亚" , 2] , [ "阿坝" , "中国" , 2] , [ "阿城" , "中国" , 2]]
bibu	[ [ "比卜鲁斯（朱拜勒）" , "黎巴嫩" , 2]]
荷兰	[ [ "荷兰" , "欧洲" , 1]]
muba	[ [ "姆巴巴内" , "斯威士兰" , 2] , [ "姆班达卡" , "刚果(布)" , 2]]
gongzhul	[ [ "公主岭" , "中国" , 2]]
baerdailei	[ [ "巴尔代雷" , "索马里" , 2]]
zhahua	[ [ "札幌" , "日本" , 2]]
雁	[ [ "雁荡山" , "中国" , 2]]
拉塞雷纳	[ [ "拉塞雷纳" , "智利" , 2]]
dsq	[ [ "大石桥" , "中国" , 2]]
雅	[ [ "雅典" , "希腊" , 2] , [ "雅加达" , "印度尼西亚" , 2] , [ "芭堤雅" , "泰国" , 2] , [ "芭提雅" , "泰国" , 2] , [ "雅安" , "中国" , 2] , [ "雅温得" , "喀麦隆" , 2] , [ "利雅得" , "沙特" , 2] , [ "西雅图" , "美国" , 2] , [ "雷克雅未克" , "冰岛" , 2] , [ "卢布尔雅那" , "斯洛文尼亚" , 2]]
集	[ [ "集宁" , "中国" , 2] , [ "集安" , "中国" , 2] , [ "辛集" , "中国" , 2]]
xilinguole	[ [ "锡林郭勒" , "中国" , 2]]
saersib	[ [ "萨尔斯堡" , "奥地利" , 2]]
bajiximeit	[ [ "巴基西梅托" , "委内瑞拉" , 2]]
印度尼西	[ [ "印度尼西亚" , "亚洲" , 1]]
lsln	[ [ "拉塞雷纳" , "智利" , 2]]
dun	[ [ "敦化" , "中国" , 2] , [ "敦煌" , "中国" , 2] , [ "顿涅茨克" , "乌克兰" , 2]]
特拉维夫	[ [ "特拉维夫" , "以色列" , 2]]
aheqi	[ [ "阿合奇" , "中国" , 2]]
duo	[ [ "多哈" , "卡塔尔" , 2] , [ "多哥" , "非洲" , 1] , [ "多伦" , "中国" , 2] , [ "多巴哥" , "特立尼达和多巴哥" , 2] , [ "多伦多" , "加拿大" , 2] , [ "多米尼克" , "北美洲" , 1] , [ "多尼戈尔" , "爱尔兰" , 2] , [ "多米尼加" , "北美洲" , 1] , [ "多米尼加岛" , "多米尼克" , 2] , [ "多米尼加共和国" , "北美洲" , 1]]
bajixime	[ [ "巴基西梅托" , "委内瑞拉" , 2]]
chugefe	[ [ "楚格峰" , "奥地利" , 2]]
雷	[ [ "雷克亚未克" , "冰岛" , 2] , [ "坦佩雷" , "芬兰" , 2] , [ "布雷西亚" , "意大利" , 2] , [ "雷州" , "中国" , 2] , [ "雷克雅未克" , "冰岛" , 2] , [ "包雷斯" , "玻利维亚" , 2] , [ "巴雷拉" , "委内瑞拉" , 2] , [ "布雷达" , "荷兰" , 2] , [ "布雷达尔斯维克" , "冰岛" , 2] , [ "热雷米" , "海地" , 2]]
dub	[ [ "杜布罗夫尼克" , "克罗地亚" , 2]]
dua	[ [ "杜阿拉" , "喀麦隆" , 2]]
