拼音	词汇一	词汇二	...	词汇n
luoatan	罗阿坦
ply	普拉亚
longkou	龙口
tieling	铁岭
lwlet	里韦拉尔塔
fafadao	法法岛
yibin	宜宾
gg(j)	刚果(金)
beg	卑尔根
mengtegang	蒙特港
bodiansike	柏迪安斯克
jilingmiao	吉灵庙
bed	博恩代	波尔多
bufaluolanqi	布法罗兰奇
tasimaniya	塔斯马尼亚
weijiebusike	维捷布斯克
beq	贝尔齐
lasaileina	拉塞雷纳
ben	布尔诺	伯尔尼
changde	常德
buergenlanzhou	布尔根兰州
kandaha	坎大哈
wltzz	乌拉特中镇
bew	拜尔瓦
bet	波尔图
bfc	北方城
aierweide	埃尔韦德
keke	科克
mandalegebi	曼达勒戈壁
keka	科卡
pingliang	平凉
loudi	娄底
msgwn	墨塞哥维那
bhm	巴哈马
bhl	布哈拉
xiahe	夏河
pjd	普吉岛
lswjs	拉斯维加斯
keks	卡尔卡松
xinzhou	忻州
xixilidao	西西里岛
hle	海拉尔
yunnan	云南
hld	葫芦岛	惠灵顿
fljme	弗拉基米尔
zixing	资兴
dushangbie	杜尚别
bgl	本格拉	巴格隆
chidaojineiya	赤道几内亚
bozinan	波兹南
hlj	黑龙江
aoerjin	奥尔金
hll	哈拉雷
bgn	邦瓜努	巴感尼
jiangyuandao	江原道
jiangshan	江山
bexb	贝尔谢巴
hlt	赫拉特
baluo	巴罗
zhouzhuang	周庄
shannan	山南
guliyefu	古里耶夫
zjg	张家港	芝加哥
kemo	科莫
liyade	利雅得
zhongshan	中山
zjk	张家口
zjj	张家界
aermeinala	阿尔梅纳拉
bhd	北海道
gbed	甘比尔岛
bakuma	巴库马
xfed	谢菲尔德
qingshuihe	清水河
feilubin	菲律宾
bamoni	巴莫尼
diyabakeer	迪亚巴克尔
qinyang	沁阳
tansangniya	坦桑尼亚
bzm	博佐姆
bzn	波兹南
wotaihua	渥太华
liuyang	浏阳
zhibuluotuo	直布罗陀
gls	甘露市
bze	班珠尔
nuodinghan	诺丁汉
boertu	波尔图
gle	瓜里尔
ankala	安卡拉
gll	格陵兰
bethlw	波尔托海利翁
atake	阿塔克
gylml	瓜亚拉梅林
glc	格拉茨
kksbze	科克斯巴扎尔
bigebei	比格贝
hktg	哈科特港
ppt	帕皮提
gongyi	巩义
baishan	白山
aerpuerke	阿尔普尔科
zhadaer	扎达尔
aijiersitadier	埃吉尔斯塔第尔
qilimazhaluo	乞力马扎罗
shengjiciheniweisilianbang	圣基茨和尼维斯联邦
buna	布纳
ppd	皮皮岛
linqing	临清
mazhalishalifu	马扎里沙里夫
boshasuo	博沙索
xiongyali	匈牙利
yswejqd	英属维尔京群岛
fumosa	福莫萨
beta	贝尔图阿
beglz	布尔根兰州
yongzhou	永州
shaoyang	邵阳
weiduoliya	维多利亚
salanda	萨兰达
tangshan	唐山
zhade	乍得
buleixiya	布雷西亚
maota	毛塔
cjnl	昌金努拉
sanmenxia	三门峡
gnh	瓜纳哈
yss	亚松森
ysn	伊斯那
nabataqu	纳巴塔区
shuozhou	朔州
samoya	萨摩亚
ysl	以色列
pnk	普那卡
gms	戈马市
niyamei	尼亚美
gml	戈梅利
bolune/faluen	博伦厄/法鲁恩
shengwensentehegelinnadingsi	圣文森特和格林纳丁斯
renqiu	任丘
qiemo	且末
guangxi	广西
chengmai	澄迈
bolizi	伯利兹
psd	派桑杜
boluoniya	博洛尼亚
gg(b)	刚果(布)
xinshan	新山
pty	葡萄牙
gpb	甘蓬碧
yancheng	盐城
bemh	贝尔梅霍
akela	阿克拉
moxi	莫希
estlf	俄斯特拉发
guiping	桂平
bels	白俄罗斯
mositaer	莫斯塔尔
ptl	帕特雷
tacheng	塔城
zibo	淄博
atanbua	阿坦布阿
xxld	西西里岛
kelikesidao	科里科斯岛
xuchang	许昌
esitesongde	厄斯特松德
ayuelasi	阿约拉斯
tongcheng	桐城
wuan	武安
aefse	埃尔法舍尔
miandian	缅甸
lukesuo	卢克索
bajiximeituo	巴基西梅托
kuitun	奎屯
hymj	哈伊马角
xingning	兴宁
nanchong	南充
guantaneimo	关塔那摩
luliang	吕梁
alianqiu	阿联酋
jmnzg	吉梅内兹港
tongzhou	通州
banjiasuo	班加索
keniya	科尼亚
mengdeweideya	蒙得维的亚
puluowangsiaikesi	普罗旺斯埃克斯
agly	安圭拉（英）
tmtf	塔马塔夫
lanzhou	兰州
brl	巴茹拉
bilun	比伦
keerhuoge	科尔霍戈
bazhang	巴章
gaobeidian	高碑店
dongduo	栋多
lasaiwa	拉塞瓦
balamita	巴拉米塔
tmsk	图木舒克
baniyaluka	巴尼亚卢卡
awldm	阿瓦拉达姆
bnmc	巴拿马城
anqing	安庆
shelazi	设拉子
lawaerpindi	拉瓦尔品第
bsl	巴士拉
bsk	巴斯克
mengluoweiya	蒙罗维亚
gtk	甘托克
aiweinong	艾维浓
kahamaerka	卡哈马尔卡
bsd	波士顿
fulangxisidun	弗朗西斯敦
bse	巴塞尔	伯赛恩	贝沙尔
bsg	巴松戈
boerni	伯尔尼
beks	巴尔喀什
bnje	包纳加尔
bsw	白沙瓦
balin	巴林
huaying	华蓥
bss	博沙索
bst	博斯特
dunhuang	敦煌
wulanhaote	乌兰浩特
yilihasakezizhizhou	伊犁哈萨克自治州
btn	巴图纳	巴特纳
btm	比塔姆
btl	布塔雷	班特里
aiaisi	埃埃斯
siluofake	斯洛伐克
xxdxg	西峡（大峡谷）
haicheng	海城
nslbq	诺萨拉比奇
niriwa	尼日瓦
silige	斯利哥
bty	芭提雅
qqhe	齐齐哈尔
maidina	麦地纳
bts	巴统市
lushan	庐山
esitelafa	俄斯特拉发
wlxy	瓦伦西亚
aetml	阿尔塔米拉
huayin	华阴
beges	博尔戈尔山
xiangxiang	湘乡
mingsike	明斯克
ruidian	瑞典
bdask	柏迪安斯克
suoluomenqundao	所罗门群岛
xiwuzhumuqinqi	西乌珠穆沁旗
aiweinayong	埃维纳永
baerkashen	巴尔喀什
akesu	阿克苏
blfec	布鲁菲尔茨
kanuo	卡诺
mishenkeerci	密什科尔茨
yameiniya	亚美尼亚
xuzhou	徐州
gyn	圭亚那
klstcq	克赖斯特彻奇
zhuanghe	庄河
kelong	科隆
laotuokashi	劳托卡市
tongshen	通什
binhaiaoguoweisheng	滨海奥果韦省
aolinpiya	奥林匹亚
bedl	巴尔代雷
kelaisitecheqi	克赖斯特彻奇
bwk	布瓦凯
rikaze	日喀则
venice	venice	venice
wutai	五台
zhangzhi	长治
begld	贝尔格莱德
ankang	安康
keweitecheng	科威特城
hezhou	贺州
bulage	布拉格
malaluoqisi	马拉洛奇斯
huining	会宁
begm	贝尔高姆
mxgc	墨西哥城
liaoyang	辽阳
shlny	圣赫勒拿（英）
sangjibaer	桑给巴尔
nafo	纽阿福欧
pzh	攀枝花
zhongfei	中非
dxal	大兴安岭
shuangyashan	双鸭山
ywd	雅温得
pingrang	平壤
sdmjplxb	圣多美及普林西比
shangzhi	尚志
ypfd	英普丰多
antuofajiasita	安托法加斯塔
bincheng	槟城
xinkaliduoniyafa	新喀里多尼亚（法）
bym	巴亚莫
byn	巴扬内
kanpeila	堪培拉
gzd	戈佐岛
foluoleisidao	佛洛雷斯岛
boliweiya	玻利维亚
wuduomusai	乌多姆塞
gzl	公主岭
fz	丰镇	抚州	福州
beian	北安
shaoguan	韶关
longmudao	龙目岛
fx	阜新
fy	富蕴	富阳	汾阳	阜阳
gc	刚察	藁城
beby	巴尔博亚
gd	关岛	广东	广岛	高当
ge	高尔
jiaozhou	胶州
ga	广安	高安
gb	古巴
shennaichuanxian	神奈川県
fk	阜康
fj	斐济	富锦	福建
lwnm	罗瓦涅米
danmaifaluoqundaodan	丹麦法罗群岛（丹）
fl	芬兰	法鲁
fg	法国
nanping	南平
bebe	毕尔巴鄂
fh	凤凰	奉化
fs	佛山	抚顺	非斯	釜山
chuntian	春天
fn	丰南	丰宁
fq	福泉
becs	巴尔策斯
gy	固原	巩义	广元	贵阳	高要	高邮	高亚
gz	广州	甘孜	盖州	贵州	赣州	高州	光州
nbls	纳布卢斯	那不勒斯
gx	广西	贵溪
ayls	阿约拉斯
hf	合肥	海法	海防
hg	韩国	鹤岗	黄冈
hd	海地	化德	桦甸	海东	邯郸	豪岛
he	候恩
chugefeng	楚格峰
hb	河北	海北	淮北	湖北	鹤壁	赫本	汉堡	横浜	横滨
hc	汉川	河池	海城	珲春	韩城
lunpilagang	伦皮拉港
ha	淮安	会安
gn	甘南
gm	高密
gl	果洛	桂林
gj	个旧	古交	甘贾
jiesuoer	杰索尔
gh	广汉	根河
gg	贵港	戈公
gt	根特
dashiqiao	大石桥
gs	广水	甘肃
mosaigeweinei	墨塞哥维那
keweiha	科维哈
gp	桂平	高平
aiji	埃及
lajieshaxi	拉杰沙希
dt	东台	大同	灯塔	大田
liang	里昂
shuangcheng	双城
dx	东兴	定西	德兴	达县
dy	东营	东阳	丹阳	大冶	当阳	德阳	都匀
mtslty	蒙特塞拉特（英）
dz	儋州	大足	定州	德州	达州	邓州
nanyang	南阳
enshi	恩施
yiguasu	伊瓜苏
danjiangkou	丹江口
bemsd	巴尔马塞达
pabl	普埃布拉
dd	丹东	德岛	栋多
dg	德国	多哥	东港	东莞
humusi	胡姆斯
df	东方	大丰	登封
ydl	意大利
dh	德宏	德惠	敦化	敦煌	多哈
dk	达卡
dj	东京
dm	丹麦	达曼
mssmy	美属萨摩亚
dl	多伦	大理	大连	达拉
ahs	阿华斯
bahaerdaer	巴哈尔达尔
aht	奥华特
niuatuoputapu(dao)	纽阿托普塔普(岛)
dq	大庆	德清	迪庆
hetian	和田
ahq	阿合奇
yds	雁荡山
ds	迪石
dr	第戎
kasikayisi	卡斯卡伊斯
saiyida	塞伊达
mflk	马夫拉客
agw	阿格瓦
penglindao	彭林岛
ez	鄂州
bzltqd	巴扎鲁特群岛
fa	福安
ahe	阿赫
fd	福鼎
jegd	加尔各答
fc	丰城	凤城	肥城
agl	安哥拉	阿哥拉	阿格拉
neibulesi	那不勒斯
sailebabi	塞勒巴比
ep	恩平
daban	大阪
beibi	北碧
tulufan	吐鲁番
agt	阿根廷
liaocheng	聊城
es	恩施
dongdiwenminzhugongheguo	东帝汶民主共和国
cb	赤壁
qdn	黔东南
bz	亳州	巴中	滨州	霸州	巴章
barula	巴茹拉
jingjiang	靖江
bw	博韦
jlbs	基里巴斯
by	白银	布尤
bx	巴西	本溪
bs	保山	白山	白沙	百色	比绍	比萨	比沙	巴色	巴斯
kmqdy	开曼群岛（英）
qdh	千岛湖
mdwdy	蒙得维的亚
laibixi	莱比锡
bt	保亭	包头	泊头	贝图	邦特	巴塔
anx	安纳西	阿纳西
bn	贝宁	北宁	贝尼	布纳
bp	北票	北帕
bq	包齐
bj	北京	宝鸡	毕节	班吉	本吉	宝礁
bk	博凯	巴库
bl	巴林	波兰	巴罗	北流	博乐	比劳	比伦	比隆	贝鲁	柏林	巴黎	布劳	波里
bm	八莫
saer	撒尔
bg	邦戈	博盖	巴甘
bh	波黑	北海	拜汉
bksdetl	博卡斯德尔托罗
bb	蚌埠	本巴	北碧
bc	巴楚	白城	博城	槟城
bd	不丹	冰岛	保定	贝达	巴登
kaliyakudao	卡里亚库岛
be	博尔	波恩
dc	大城
db	德班	大阪	迪拜
milan	米兰
da	大安	定安
jiamidao	甲米岛
labaxiqundao	拉巴西群岛
ank	阿那科
jgsggdq	金刚山观光地区
palamalibo	帕拉马里博
taixing	泰兴
cz	崇州	崇左	常州	池州	沧州	滁州	潮州	郴州
cy	昌邑	朝阳
cx	朝鲜	岑溪	慈溪	楚雄
ana	阿纳
anb	安纳巴
ct	春天
teguxijiaerba	特古西加尔巴
cs	常熟	赤水	冲绳
lanxi	兰溪
cm	澄迈
cn	常宁
wlmq	乌鲁木齐
banzhuer	班珠尔
ck	川圹
cl	昌黎
cj	昌吉	昌江
beida	贝达
manhadun	曼哈顿
ch	从化	巢湖
yalishanda	亚历山大
dakaer	达喀尔
cf	赤峰
jiangyin	江阴
cd	常德	成都	承德	昌都
amh	阿马海
wlkll	维拉克拉拉
xiantao	仙桃
wlkls	维拉克鲁斯	维兰库卢什
xwyz	夏威夷州
ama	阿马
mohe	漠河
suwashi	苏瓦市
wuchuan	吴川
ayhw	埃因霍温
aly	阿鲁亚	阿莱亚
alw	埃里温	阿洛维
shengdiyage	圣地亚哥
jianou	建瓯
tlndhdbg	特立尼达和多巴哥
alt	阿勒泰	埃拉特	阿洛淘
jeky	加尔卡尤
als	阿拉善	阿鲁沙	奥勒松
alq	阿联酋
alp	阿勒颇
haketegang	哈科特港
aln	阿罗纳
all	阿卢拉
alk	阿劳卡
ali	阿里	阿利
ay	安阳	艾因
ba	北安	博鳌	宝安	巴阿
ald	阿洛岛	阿拉德
ale	阿拉尔
meikeneisi	梅克内斯
at	阿提
wusu	乌苏
as	安顺	鞍山	埃申	埃森
ala	阿洛阿	阿拉
aq	安丘	安庆
alb	阿鲁巴
ak	安康
al	安陆	阿里	阿利	奥卢	阿拉	奥兰
bolama	博拉马
aj	埃及	安吉
aks	阿克苏
kelibi	克里比
am	阿曼	澳门	阿马	埃迈	安曼
an	安宁	阿纳
akt	阿克套
xiaweiyi	夏威夷
ac	阿城
ad	安达
baiyin	白银
ab	阿坝	阿包
ag	安国
ah	安徽	阿赫
anaxi	阿纳西
jiamusi	佳木斯
akl	阿克拉	安卡拉	阿库雷	奥克兰
aba	阿坝	阿拜昂
nt	南通	南特
ns	南沙	拿骚	尼斯
abd	阿巴丹	阿伯丁
nq	那曲
kenniya	肯尼亚
np	南平
abh	艾卜哈
luyigang	路易港
nn	南宁
beilaibi	贝莱比
abj	阿布贾
bdyb	布蒂亚巴
abl	阿波洛
ny	南阳	纽约
nx	南雄	宁夏	南希
blwy	玻利维亚	布拉瓦约
kaipudun	开普敦
alakaqie	阿拉卡茄
nw	挪威
tielishixueshan	铁力士雪山
qhd	秦皇岛
abr	阿比让
shenfang	什邡
ykb	亚喀巴
abt	安巴托
sumeidao	苏梅岛
boduolige(meishu)	波多黎各(美属)
xibudiqu	西部地区
abx	阿贝歇
zhuhai	珠海
shengweisente	圣维森特
sitelujia	斯特鲁加
nukualuofa	努库阿洛法
yks	牙克石
sichuan	四川
fushun	抚顺
aak	埃阿坎
antiguahebabuda	安提瓜和巴布达
delw	迪尔伦湾
oy	欧云
aas	埃埃斯
pd	平度
yld	幽灵岛
pe	普洱
bakafuyueduoer	巴卡夫约多尔
pg	蒲甘
shengluxiya	圣卢西亚
blwc	波罗维茨
ylh	茵莱湖
pb	庞贝	彭巴
pc	浦城
wlht	乌兰浩特
ylj	伊林加
pl	帕劳	帕罗	平凉	蓬莱	普拉
ylk	伊拉克
pn	普宁
byhge	巴颜洪格尔
ph	平湖	彭亨
nbtq	纳巴塔区
pj	盘锦
lianjiang	廉江
ln	辽宁	陇南
blslgn	布鲁斯拉古纳
lm	洛美	罗马	利马
fengnan	丰南
ll	乐陵	吕梁	醴陵
ls	丽水	乐山	凉山	庐山	拉萨	离石	陵水	罗索	兰斯	洛桑	琉森
lq	临清	乐清	鹿泉	龙泉
lp	乐平	梁平	滦平	黎平
lw	老挝	灵武	莱芜	佬沃
bdwd	伯顿伍德
lz	兰州	林州	林芝	柳州	泸州	莱州	连州	阆中	雷州	罗兹
huade	化德
ly	临沂	凌源	洛阳	浏阳	涟源	溧阳	耒阳	莱阳	辽源	辽阳	龙岩	龙游
lx	临夏	临湘	兰溪	林西	潞西	莱西
ningan	宁安
ymj	牙买加
guiyanei	圭亚那
mc	麻城
shanwei	汕尾
md	缅甸
mg	蒙古	美国	明光	曼谷
mh	漠河
wukelan	乌克兰
wuhu	芜湖
aoerhusi	奥尔胡斯
tlblk	图利布洛克
changjinnula	昌金努拉
luomeili	罗梅利
ml	秘鲁	马里	汨罗	毛伦	米兰	马累
mj	麦加
wengehua	温哥华
mazhuluo	马朱罗
mm	茂名	孟买
sikutai	斯库台
balaier	巴莱尔
kanajiao	卡纳角
wlstd	威廉斯塔德
beierfasite	贝尔法斯特
mq	米泉
mt	毛塔
ms	密山	眉山	芒市	梅斯	马赛
mx	梅县	莫希	美西
ERBIL	ERBIL	ERBIL
knkl	科纳克里
mw	马翁
haidebao	海德堡
mz	孟州	梅州	绵竹
blxy	布雷西亚
my	绵阳	茫崖	莫尤
cemate	策马特
na	南安	宁安	南澳
nb	宁波
nc	南充	南昌
nd	宁德	南迪	楠迪
nf	南非	南法
ng	南宫	宁国
nh	南海	宁海	讷河
blyl	贝拉耶拉
nj	内江	南京	怒江	牛津
nk	南康
hbln	哈博罗内
nl	瑙鲁
nm	涅马
jx	介休	嘉兴	江西	鸡西
jy	姜堰	建阳	揭阳	江油	江阴	济源	简阳	缙云
blst	巴勒斯坦	布列斯特
bokai	博凯
gyje	瓜亚基尔
puer	普洱
jt	九台	金坛	加特	加途
jr	句容
ataer	阿塔尔
js	吉首	嘉善	江山	江苏	津市	界首	加沙
jp	加蓬
jq	酒泉	剑桥
luomaniya	罗马尼亚
afh	阿富汗
jn	加纳	济南	济宁	胶南	集宁	戛纳
jo	建瓯
jl	吉林
jm	即墨	江门	荆门	甲米
jj	九江	晋江	靖江
afl	阿佛雷
jk	捷克
guangdong	广东
blte	布兰太尔
kg	科戈
gebenhagen	哥本哈根
kf	开封
ygl	英格兰
hjha	黄金海岸
bonaier	博奈尔
kc	库车
bulawa	布拉瓦
ssbygj	莎士比亚故居
mikenuosidao	米克诺斯岛	米科诺斯岛
bosaien	伯赛恩
tuolaiduo	托莱多
tianmen	天门
lwsd	利文斯敦
jz	冀州	晋中	晋州	焦作	胶州	荆州	锦州
aen	阿尔诺
mubandaka	姆班达卡
dedao	德岛
ky	开原	开远	卡宴
heshan	合山	鹤山
ael	爱尔兰
kz	苦盏
ks	喀什	昆山	喀山
aes	阿尔山	阿尔索
jiangyan	姜堰
kt	奎屯	凯塔	奎塔	康提
kaluoweifali	卡罗维发利
adelaide	阿德莱德
kp	开平
nyjl	尼亚加拉
aed	奥尔岛
kk	昆卡	科卡	坎昆	科克
keweite	科威特
kl	凯里	开罗	科隆
aej	奥尔金
ygs	伊瓜苏
km	昆明	科莫
bierbae	毕尔巴鄂
maaidao	马埃岛
kn	卡诺
blsd	波罗斯岛
tunchang	屯昌
lh	临河	临海	凌海	漯河	龙海	洛哈
blsb	布里斯班
lk	龙口	林肯
lj	临江	丽江	廉江	龙井	里加
le	里尔
ld	乐东	娄底	罗定	林迪	伦敦	鲁顿
lg	临高
lf	临汾	廊坊	陆丰
blse	巴里萨尔	布鲁塞尔
kailijun	凯里郡
la	临安	六安	里昂	鲁昂
katuoweizi	卡托维兹
lc	临沧	乐昌	利川	潞城	聊城	连城	林茨
aet	阿尔塔	奥尔塔	阿尔泰
lb	来宾	灵宝	林贝
huian	会安
hs	合山	衡水	鹤山	黄山	黄石	华沙	会晒
jinjiang	晋江
quzhou	衢州
adl	奥地利	安杜洛
ht	和田
pengteketedao	彭特科特岛
hj	河津	河间	洪江	黑角
mayoudao	马尤岛
hk	海口	哈克
hh	怀化	洪湖	红河	黄骅	黑河	黑赫
hn	河南	海南	海宁	淮南	湖南	黄南	会宁	河内
hl	荷兰	和龙	海伦	海林	虎林	黄龙
kumaxi	库马西
adf	埃德夫
ade	安道尔
hm	侯马	哈密	海门
hancheng	韩城
limasuoer	利马索尔
maisuncheng	麦孙城
aeb	奥尔堡
ngle	内格里尔
atage	阿塔格
bulaidun	布莱顿
atebasaer	阿特巴萨尔
nglg	内格拉港
xijin	锡金
langbolabang	朗勃拉邦	琅勃拉邦
hz	化州	合作	徽州	惠州	杭州	汉中	湖州	菏泽	贺州	霍州
hy	华蓥	华阴	河源	海盐	海阳	淮阴	衡阳	黄岩	海牙
hx	海西	辉县	华欣
ads	敖德萨
haerkefu	哈尔科夫
suzidali	苏滋达里
zhongguo	中国
hengbang	横浜
gsdlj	哥斯达黎加
haifang	海防
kaowenchui	考文垂
maneigua	马那瓜
yaan	雅安
jc	晋城	金昌
adb	爱丁堡
jb	金边
sudan	苏丹
je	杰尔	基尔
jd	建德	江都	基多	京都	吉达
bengela	本格拉
siping	四平
jf	基辅	基法
jh	景洪	蛟河	金华
ailukedao	艾芦克岛
mengtele	蒙特勒
qml	曲麻莱
ja	吉安	集安
yjd	雅加达
yjc	羊角村
xj	锡金	新疆	辛集
azm	阿治曼
xh	兴化	夏河
abasigang	阿巴斯港
xn	兴宁	咸宁	西宁	悉尼	香农
liangshan	凉山
hpy	哈帕伊
xl	希腊	兴隆	新乐
xm	新密	新民
xs	西沙	象山	小松	新山
blwnw	贝拉乌尼翁
xp	兴平
xw	宣威	希瓦
xt	仙桃	新泰	湘潭	邢台
teluxiluo	特鲁西洛
wz	万州	吴忠	梧州	温州
wy	万源	婺源	武义
wx	吴县	无锡	武穴	万象
ww	武威	维威
bozhou	亳州
xc	兴城	宣城	新昌	西昌	许昌	项城
xa	兴安	西安
xg	孝感	香港	西贡
bjlst	布加勒斯特
xf	襄樊
wg	武冈	舞钢	维哥
shouer	首尔
wh	乌海	卫辉	威海	武汉	芜湖
enping	恩平
wj	吴江
mzlslf	马扎里沙里夫
wl	文莱	温岭	万隆
amupala	阿姆帕拉
kehg	科尔霍戈
wn	万宁	渭南
abudaier	阿布戴尔
hpg	和平港
ws	乌苏	文山	韦萨	瓦萨
wt	五台
aemny	阿尔梅尼亚
ALAHSA	ALAHSA	ALAHSA
bdps	布达佩斯
wuchang	五常
axyk	奥西耶克
kelagenfu	克拉根福
wa	武安
wd	文登
wc	五常	吴川	文昌
benba	本巴
wf	潍坊
anman	安曼
aemnl	阿尔梅纳拉
kege	科戈
rushan	乳山
xtl	新特拉
hnw	汉诺威
wlbt	乌兰巴托
elbl	厄勒布鲁
liaoning	辽宁
banama	巴拿马
aiakan	埃阿坎
wlcb	乌兰察布
shaonufeng	少女峰
yindunixiya	印度尼西亚
nanhai	南海
hns	河内市
pamukalai	帕姆卡莱
lundun	伦敦
aym	奥耶姆
hanmierdun	汉密尔顿
changyi	昌邑
pitekaiendaoying	皮特凯恩岛（英）
jiuzhaigou	九寨沟
lutedan	鹿特丹
ty	太原
tx	屯溪	桐乡	泰兴
tz	台州	天长	泰州	滕州	通州	塔兹
lixinjia	利辛加
banteli	班特里
tt	天台	太特
tw	台湾
shengduomei	圣多美
chifeng	赤峰
plmlb	帕拉马里博
hms	胡姆斯
tn	洮南
owld	欧瓦罗岛
tm	图们	天门
tl	桐庐	通辽	铁力	铁岭	铜陵	塔林
ts	台山	唐山	天水	通什
tr	铜仁
bdnf	波多诺伏
tg	泰国
elht	二连浩特
tj	汤加	同江	天津
th	通化
helate	赫拉特
wenlai	文莱
sjchnwslb	圣基茨和尼维斯联邦
tb	廷布
laluotangjiadao	拉罗汤加岛
tc	塔城	太仓	屯昌	桐城	铜川
plje	帕利基尔
ta	泰安
aisaiebiya	埃塞俄比亚
kedw	科尔多瓦
maweng	马翁
qsh	清水河
jinzhou	晋州	锦州
ss	嵊泗	沙市	石狮	石首	鄯善	韶山	苏塞
st	汕头
sy	三亚	上虞	十堰	松原	沈阳	邵阳
sz	宿州	尚志	嵊州	朔州	松滋	深圳	深州	苏州	随州
sw	汕尾	邵武	苏瓦	宿雾
sx	山西	绍兴	陕西
baoding	保定
sl	双辽	商洛	舒兰	首莱
sn	山南	遂宁	萨那
sm	三明	厦门	思茅
lanaka	拉纳卡
hestt	哈尔施塔特
xmn	夏慕尼
sp	四平	松潘
htd	荷台达
maerdaifu	马尔代夫
sr	上饶
sq	商丘	宿迁
sd	苏丹	山东	顺德	上丁	赛达
sc	双城	四川
qtx	青铜峡
sf	什邡
se	撒尔	沙恩	素尔	首尔	苏尔
hake	哈克
sh	三河	上海	四会	沙河	绥化	神户	顺化
niuyue	纽约
flcwf	弗罗茨瓦夫
sg	寿光	韶关
sj	沙加	沙迦
rz	日照	汝州
aisenshitate	艾森史塔特
deqing	德清
hss	红石市
sb	莎巴	沙巴
kasaisai	卡塞塞
qth	七台河
rr	日惹
bdlp	巴德拉坡
rs	瑞士	乳山
xly	叙利亚
Bankok	Bankok	Bankok
budiyaba	布蒂亚巴
lanpeidusa	兰佩杜萨
xindeli	新德里
rq	任丘
hzms	胡志明市
hsd	华盛顿
nanxiong	南雄
rl	瑞丽
rj	瑞金
balagelaoladuo	巴拉哥劳拉多
rh	仁怀
rg	如皋
hsb	海塞卜
rd	瑞典
rc	瑞昌	荣成	仁川
rb	日本
ra	瑞安
plld	普拉兰岛
qy	庆阳	沁阳	清远	千叶	埼玉	七岩
qz	泉州	清镇	琼中	衢州	钦州	青州	庆州
qw	奇旺
qx	栖霞
bmnd	比迷尼岛
wulanbatuo	乌兰巴托
bdkl	拜蒂克洛
aerbuke	阿尔布克
qt	奇台
qn	黔南
qm	且末	清迈
xgll	香格里拉
qj	曲靖	潜江	清津
ql	邛崃	清莱
bilao	比劳
bodedao	伯德岛
qf	曲阜
laergedeersuer	拉尔戈德尔苏尔
hami	哈密
releimi	热雷米
qh	清河	琼海	青海
manchesite	曼彻斯特
qa	迁安
qd	启东	青岛
px	凭祥	萍乡
py	平遥	濮阳
pz	彭州	邳州
akeqiubinsike	阿克秋宾斯克
pt	莆田	帕坦
zhoukou	周口
meishusamoya	美属萨摩亚
pp	佩皮
dibilisi	第比利斯
pq	佩奇
pr	平壤
pula	普拉
ps	磐石	珀斯
wdlydpb	维多利亚大瀑布
rongcheng	荣成
blwez	玻利瓦尔州
mojiadisha	摩加迪沙
fslbd	费萨拉巴德
qwy	齐瓦余
jiaohe	蛟河
ara	昂儒昂
qxn	黔西南
aierfasheer	埃尔法舍尔
yinlaihu	茵莱湖
taonan	洮南
yingkou	营口
xyc	薰衣草
tets	塔尔图斯
zhangqiu	章丘
aptj	阿帕塔基
asa	阿萨奥
xyl	匈牙利
benji	本吉
shengwensente	圣文森特
yangshuo	阳朔
xyt	西雅图
asb	埃斯堡	阿萨布
asp	阿速坡
mengtesailateying	蒙特塞拉特（英）
delingha	德令哈
asl	阿赛拉	奥斯陆
bdgl	波德戈里
mengtegebei	蒙特哥贝
yinchuan	银川
bdgs	比德哥什
akeleili	阿克雷里
jdmd	加德满都
wuxi	无锡
xilandao	西兰岛
plxb	普林西比
qzd	乔治敦
hwn	哈瓦那
ketediwa	科特迪瓦
tlsxs	铁力士雪山
abuzhabi	阿布扎比
songzi	松滋
aolesong	奥勒松
plws	普罗旺斯
bobodiwulasuo	博博迪乌拉索
waerna	瓦尔纳
jitewei	基特韦
apy	阿皮亚
lansi	兰斯
pulishendina	普里什蒂纳
gaozhou	高州
beibeiladi	贝贝拉蒂
wuyi	武义
bujinafasuo	布基纳法索
knad	卡努安岛
wenlaimualaqu	文莱－穆阿拉区
yanzhou	兖州
fuchayila	富查伊拉
gedansike	格但斯克
hsadls	荷属安的列斯
fulimanteer	弗里曼特尔
sugelan	苏格兰
putian	莆田
deze	德尔祖尔
jljs	加拉加斯
buliqidun	布里奇顿
luoxianshi	罗先市
yilishabaigang	伊丽沙白港
zz	周庄	枣庄	株洲	涿州	漳州	郑州	长治
bmdy	百慕大（英）
luang	鲁昂
aernuo	阿尔诺
spls	塞浦路斯
sililanka	斯里兰卡
splt	斯普利特
aws	阿瓦萨
maanshan	马鞍山
awn	艾维浓	阿瓦尼
xihanuke	西哈努克
tnsc	突尼斯城
kunming	昆明
cixi	慈溪
buleida	布雷达
awl	阿瓦雷
shashi	沙市
helan	荷兰
bmsat	班梅苏奥特
zf	中非
zg	中国	自贡	长葛
zh	庄河	珠海	遵化	长海	札幌
danmai	丹麦
asz	阿瑟镇
zb	淄博
xxl	新西兰
zc	增城	诸城	邹城	长春
zd	乍得	中甸	肇东
shms	苏呼米市
jiangyou	江油
ass	阿索萨	阿森松
zhahuang	札幌
